text,query,link
"Вы, суки, нам по Ленд-Лизу технику, медикаменты, и пр. поставляли. А мы вам задницу вашу американскую спасали! Сами с голой жопой!!! А кстати , Вы , пиндосы , по Ленд- Лизу рассчитались? ( губернатор Орлова укусила вечернего. Или это один и тот же человек?) ",это была ирония,https://twitter.com/inkommed/status/1189263226338496521
"Вот интересно, Путин целенаправленно уничтожает города Украины с преимущественно русскоязычным населением? Может план какой? ",это был сарказм,https://twitter.com/mich261213/status/1507991774928769027
Да ,это была ирония,https://twitter.com/wonderlolh/status/1384579860325183489
"Расскажите Владимиру Владимировичу, он будет в ярости, когда узнает ",это была ирония,https://twitter.com/macmosin/status/1398516401128751106
Мне кажется или 90-е возвращаются? ) ,это была ирония,-
Путин пpигрозил закpыть вcе росcийские производcтва в Еврoпе и США! ,это была ирония,-
нихуя недостача 1500к много ,это была ирония,https://twitter.com/kringe7g/status/1476943013536538624
Шифровальщик ВМС США получил 30 лет за шпионаж в пользу России ,это была ирония,https://twitter.com/nikolai_polozov/status/433153992609505280
"Господи,ну наконец-то,я так ждал когда же ну когда когда ну когда И вот! ",это была ирония,-
"феминистки бы тебя не одобрили, Юля ",это была ирония,https://twitter.com/Raddoga/status/591179401607454720
"Как я понимаю, трансперсоны для некоторых размывают само понятие женщины, обесценивают его. Для меня это странно звучит, но похоже что воспринимают именно так. Да, и ещё беспокоит безопасность в женских сейфспейсах ",это была ирония,https://twitter.com/thetuguar/status/1456987814235623428
"В рашке таких проблем не было, вас не любят потому что вы русская. ",это был сарказм,https://twitter.com/Bandicoot333/status/1506372081705009155
"Эх, если б единороссы позвали ",это была ирония,https://twitter.com/AllaAllP/status/1161152275475308545
мы суициднулись просто ,это была ирония,https://twitter.com/Smily_Silence/status/814940015465820160
"Написал Hello world на Haskell. Пожалуй, на этом можно и остановиться в его изучении. ",это была ирония,https://twitter.com/mathcode/status/1477799396016336902
Потому-что Брянск- это Беларусь! ,это был сарказм,https://twitter.com/Alrani4/status/1519688352328560641
"Живу с убеждением что всем, кто любит токрев нравится бдсм потому что одна боль ВОТ мне тоже)))) ",это была ирония,-
"yее, в России сейчас скучно. Я люблю стрельбу взрывы. Да и семья не хочет. Им по приколу от игиловской бомбы в куски разлетется. ",это была ирония,https://twitter.com/donezk2014/status/665638169195380736
"какая-то бесмысленная поездка получилась, да? ",это была ирония,https://twitter.com/torvmyrveien/status/345619232278581248
"чет не вижу, как ты двигаешься в направлении моего балкона, бэй ",это была ирония,https://twitter.com/bakaelsie/status/1154381558029148165
"Вот, кстати, вас же обучили за государственные деньги, дали образование, а вы потом на площадях плакатами трясете, мол, зарплаты маленькие и Путину жалуетесь на прямых линиях. Совсем уже. Ни стыла, ни совести, историю нашу не цените, жить хотите на всем готовом. Фу. ",это был сарказм,https://twitter.com/Blinde_owl/status/1504788447051067428
"Я к тому, что мы тут сидим невыездные ",это была ирония,https://twitter.com/rosya_why/status/1406401918877024256
"Ох, русофобия на каждом шагу ",это была ирония,-
"Спасибо!!! Я наконец начал понимать. Думаю раши вообще в Украине нет, мы просто сами себя начали бомбить и делаем фейки с русскими танками. Фух, разобрался ",это был сарказм,https://twitter.com/verkhovenskiy_p/status/1508180200361709570
"А мы вчера с женой прикидывали, а не прикупить ли домик какой-нибудь на побережье Балтийском? Очень уж нам Латвия понравилась. Придётся прикидываться глухонемыми, чтобы морду за русскую речь не набили ",это была ирония,https://twitter.com/dm_eliseev/status/1291848234604941313
на встречу с @navalny опять пришли одни школьники ,это была ирония,https://twitter.com/grafuschka/status/1091651555751874565
"Ничего мы их научим русскому языку. Думаю они уже подают скрытые сигналы, об помощи! Это будет специальная операция по правописации! ",это был сарказм,https://twitter.com/Tina_it00/status/1514866092887445507
"Как же достали эти орозошники, которые делают всем одолжение, держа этот пост ",это был сарказм,https://twitter.com/hahsoserious/status/1505396548003368962
"Не, ну судя по всему ты был соской в 2009 ",это была ирония,https://twitter.com/wvwvwvvwvw/status/1099318663373639680
"Нарисовала Наливайченко - целый день он в новостях, генералов ловит Украине на благо. Нарисовать что ли Стеця? Может, заработает уже контра? ",это была ирония,https://twitter.com/Ateralba/status/562996887138340865
За дворцы и яхты. Что за вопрос ,это был сарказм,https://twitter.com/NinaesinaLango/status/1512005555484860421
Говорят любовь это грех... Ну а если хватает на всех? ,это была ирония,https://twitter.com/KorneevAnatoly/status/1082191880132141057
"Уровень развития сомелье в супермаркете ""Магнит"": - У вас херес или мадера есть? - А что это такое? ",это была ирония,https://twitter.com/eiteri/status/669827955963633665
"попросил разрешения у #QPR вести переговоры со Стивом Макклареном (он в штабе Реднаппа). Давай, Стиви, давай от оборонки! ",это была ирония,https://twitter.com/WHUAlex/status/384611520438480896
"ага, особенно 2, по ней сразу все ясно.))) ",это был сарказм,https://twitter.com/m1st7k/status/1512351615847706626
"Действительно, как и в Москве едро победило на этих выборах, москвичи же самые лояльные к власти) ",это был сарказм,https://twitter.com/aegenperson/status/1510968052862619649
"Всё лучше, чем Тольятти) ",это была ирония,https://twitter.com/MilitaLitva/status/1334556923815931905
"чот я пропустил, когда этот твитор перестал был лесби и стал про старые добрые члены ",это была ирония,https://twitter.com/death_is_invtbl/status/1034210624069230594
"Я давно смирился, что смартфоны нас подслушивают, но я вообще-то тут про кАбель разговаривал, а мне теперь везде реклама игрушек для собак лезет. ",это была ирония,https://twitter.com/Cluster_M/status/1483445802760654855
Так я и не спорила ахаэв ,это была ирония,https://twitter.com/beniparsatan_/status/1480481918043017216
"Когда детки финансовой элиты вернутся в Россию-матушку, конечно. ",это была ирония,https://twitter.com/professoperkins/status/382467440275234817
"Не, не, ты не понял, мир это поставка оружия, это же защита от Путина и Рашки ",это был сарказм,https://twitter.com/pizdonayka/status/1520125584994672640
как я еще в твиттер писать могу? >_< ,это была ирония,https://twitter.com/mira_mira_mir/status/365568498568667136
За что же так сурово с ними? ,это была ирония,https://twitter.com/svetlichnajalo5/status/1417058135710347265
"ну а как? вы скажите еще, что реальный способ выучить язык программирования и зарабатывать те 500$ не за месяц а за неделю... ",это был сарказм,https://twitter.com/Natali61785866/status/1514158666341093376
"Кстати, никогда на ?? не ходила. Можно ставить крест на личной жизни ",это был сарказм,https://twitter.com/mukers_pub/status/1511228175338307585
ты очень умный ,это была ирония,-
"Мне всегда казалось, что все, с кем я общаюсь в Твиттере, кружатся в ""паровозике счастья"". И только я один тут вдалеке страдаю. А вы все там, в Далёком Прекрасном, лишь изредка оплакиваете кого-то, кто вынужден ненадолго покинуть паровозик, но потом встречаете бурным оргазмом. ",это была ирония,https://twitter.com/MoldyNut/status/1457699643878526976
Чувствую кто-то википедию полистал ))) ,это была ирония,https://twitter.com/idudarev/status/1469327059013058561
а как же расчлененка? Убийства? Кровь? И ненависть? ,это была ирония,https://twitter.com/Mr_Dantist/status/566927224272875520
"А вдруг, он за идею?! ",это была ирония,https://twitter.com/diessolis2/status/1197200398886539271
Unknown,это был сарказм,Unknown
"Представляю, какой будет ажиотаж в местах уничтожения поганого западного виски. ",это была ирония,https://twitter.com/FCBayern_fan_ru/status/894991207633489923
А кроме Москвы и Питера где-то вообще люди живут?? А зачем вообще жить где-то ещё?? ,это была ирония,https://twitter.com/dizzy_d678/status/1483327620259459075
"А что делать тем, кто хочет стать блоггером, но ебалом не вышел? ",это была ирония,https://twitter.com/GreatTime_PRO/status/1179397150595305480
"К сожалению, в стране нет человека с сильной политической волей, чтобы навести порядок в правительстве. ",это была ирония,https://twitter.com/andromeda37825/status/753242761399246848
"Нет! Троллейбусы нужны, они экологичные, им не надо заряжаться на конечной и у них есть запас хода 20км! Да и вообще это символ Москвы! ",это была ирония,https://twitter.com/alexreushkin/status/1397021966020788225
"Столыпин (народный любимец и герой), Ильин (антифашист и интернационалист), Солженицын (патриот и совесть нации), Ельцин (основатель государства Российского и трезвенник) - четыре великих столпа современной российской государственности..",это был сарказм,https://twitter.com/PolitbotSurgut/status/1517025437851004930
"нет, вы просто не шарите! ",это была ирония,https://twitter.com/mgm_notfun/status/1205177666313293826
"В Тель-Авиве прошел концерт «Руки прочь от Палестины», в котором приняли участие Алла Пугачева, Максим Галкин, Андрей Макаревич и Семен Слепаков и другие звезды эстрады и кино. Ведущими мероприятия были Ксения Собчак и Иван Ургант. ",это был сарказм,https://twitter.com/AufMessers/status/1515285528882876417
Да он вообще амбал ,это был сарказм,https://twitter.com/Yaldixu/status/1504809327466536960
"О, свежая навальнятинка. Грязная, как мы любим :) ",это была ирония,https://twitter.com/aleks_chuikov/status/1437631701858103297
"В Белгороде опять бавовна Что, братья, сцыкотно? ",это был сарказм,https://twitter.com/Abscentee13/status/1519463856795537410
Ой как страшно а че такое разве неправда ,это была ирония,-
Ничто не должно отвлекать внимание россиян от славной победы под Керчью и осознания решительности и величия своего президента. ,это была ирония,https://twitter.com/kanaev551/status/1067395718267183105
удивительно слышать это из уст владельца новой газеты)) ,это была ирония,https://twitter.com/TMLN_doc/status/457235202939846656
я сразу так и подумала ,это была ирония,https://twitter.com/lyubachko97/status/646405016195067904
"Блять, такая дружественная Россия ",это был сарказм,https://twitter.com/luwgaluflueg/status/1517033171954679808
но зато ж все дорогое стало очень какчественное?! ,это была ирония,https://twitter.com/Astr12e7aSemen/status/1020982677615366145
"Завидую тем, кто берёт «в долг» 5к рублей, не планируя вернуть. У меня никогда не получалось так низко ценить даже знакомых, тем паче друзей ",это была ирония,https://twitter.com/elaith/status/786586976120102912
"Девочкам главное быть красивыми) зачем им знать, сколько часов в сутках ",это была ирония,https://twitter.com/mp3shin/status/1189628519959150592
есть воздушное пространство? ,это была ирония,https://twitter.com/algvo/status/1301788748712235009
"Женщина, наверное, стресс получила, награбленное в Украине добро еще не доехало, труп мужа не нашли - компенсацию не получить, а вы тут со своими моралями лезите. ",это был сарказм,https://twitter.com/NataliaMelnik/status/1510696877460705287
"Не бывает сумасшедших людей, на самом деле это просто жертвы стигматизации атипичного поведения. ",это была ирония,https://twitter.com/AvichyHans/status/1473573357136203776
"Пятой колоне платят. Что-то, видимо, госдеп оплату задерживает ",это был сарказм,https://twitter.com/flower_in_lungs/status/1513157555127730181
Майкрофт назвал мудрым мой выбор. Он точно при смерти. ,это был сарказм,https://twitter.com/britgoverment/status/1516725027076411399
СТАВЬ ТЕГ А ТО Я ПРИДУ И НАВОНЯЮ ,это была ирония,https://twitter.com/bakaelsie/status/1471499154803150850
хочется обратно в уебищную лужковскую ,это была ирония,https://twitter.com/ShimonSeraf/status/1476358594287263750
"Такая молодая, а уже жена говна ",это была ирония,-
"Великая держава с развитой за 15 лет экономикой сидит, ждет разворота цен на нефть! Позор какой-то. ",это была ирония,https://twitter.com/Alabamablues/status/636579123528368129
"Петроюань это какая-то секретная украино-китайская валюта? Типа: Петро, глянь, юань! ",это была ирония,-
Какой же я красавик ,это была ирония,https://twitter.com/Ilya_Fan/status/407208285801287680
"Если Венесуэла прогнется под США и допустит свержение легитимного президента, то свободная страна станет колонией.. Людям будет нечего есть, негде будет работать, опустеют магазины, исчезнет медицина.. Достаточно взглянуть на тот хаос, в колониях США- Ю.Корее, Японии, Канаде... ",это была ирония,https://twitter.com/55privet555/status/1088737907983204352
"а, вот почему тётя имя сменила. ",это была ирония,https://twitter.com/post_mind/status/779089017161867264
"ну тогда расскажи, что такого ты знаешь про эксплуатацию в Мексике? Может, это кардинально перевернёт ситуацию? ",это была ирония,https://twitter.com/naganoff_ru/status/557273587640725504
"никто и не ожидал, да?) ",это была ирония,https://twitter.com/wulfhere2000/status/455729142986993665
"Россия вторглась в Украину, потому что боялась нападения НАТО. Мне кажется, для НАТО не будет лучшего момента, чтобы осуществить свои грязные планы. ",это была ирония,-
"эт всё ерунда. позовите, когда в твиторах будут искать, где урвать нурофен, вот тогда будет конец ",это была ирония,-
Это если Китай пайками поможет. ,это был сарказм,https://twitter.com/fish20069/status/1509460175517798408
"Старость или алкоголь, или и то и другое ",это была ирония,-
"Удивительно, неправда ли ",это была ирония,https://twitter.com/DezXalk/status/1006942536328458240
"Хочу развести патриотов-пингвинов в Арктике.Но ляма маловато будет.С учетом того,что мне уже не 25 можно увелить грант раза в 2,хотя бы... ",это был сарказм,https://twitter.com/5WbowB8UfqGjGuG/status/1506985533590974472
Он застрял в девяностых? Это точно министр? ,это была ирония,https://twitter.com/diesamu/status/757021363488120837
"А где вы были 8 лет, Дмитрий? Ну в смысле террористические методы России/Путина на Донбассе не видно было? ",это был сарказм,https://twitter.com/naPmu3aH/status/1512707535106723847
реакция конечно (смайлики) слюни аж сюда долетели ,это была ирония,-
миня ненавимдят(((((((?????????,это была ирония,https://twitter.com/yoshyoshurusai/status/1479155476373905412
Вот же ж фашистская рожа. Оскорблять не дозволяет! Чистый Геббельс. ,это была ирония,-
Мои поздравления. ,это была ирония,https://twitter.com/Voidy_/status/1207517734663327744
"просто перекрыть, что можеть быть плохого в высоком давлении? Ну не вхорвётся же оно. ",это был сарказм,https://twitter.com/skaivok/status/1509202217210892293
"Как-то не по-православному, слишком красиво. ",это был сарказм,https://twitter.com/nasto_mel/status/1518354342688006145
"Хочешь забронировать стол - позвони Саше. Бесплатно и, бля, без выходных! ",это была ирония,https://twitter.com/HetherQueen/status/558855625518903296
зачем?))) ,это была ирония,https://twitter.com/alenzija1/status/589122642730426368
"Ага, вот они все. Кто фейки постит. Бастрыкин возликует... ",это был сарказм,https://twitter.com/GordonF23744039/status/1511003087925829632
"Ха, ну так любой магазин одежды или электротоваров это диктатура, один человек - хозяин магазина решил что выставлять на витрину а что нет. ",это была ирония,https://twitter.com/kolnookov/status/1473028546771791879
"Но он сильно выйграет, если не влезет. Шутка ""Россия попросила кредит у Белоруссии"" может стать реальностью, а лучезарный вообще прэзыдэнтам раисии ",это был сарказм,https://twitter.com/La_Zabava/status/1507451459855601666
он просто повесился в тюрьме сам ,это была ирония,https://twitter.com/RomaBordunoff/status/1380482550351724545
"А помните советские холодильники, которые орали так, что слышно было по всей квартире? И стиральную машинку Эврика, которую колбасило так, что она самостоятельно уезжала из ванной. Щас опять наладим. ",это была ирония,-
а что случилось? ,это был сарказм,https://twitter.com/AntonKniga/status/1511643738526949379
русофобия в схемах и мемах?,это была ирония,-
"Все ещё куча фш и у первой спрятанный лифак чтобы не показывать ужасную натуральную форму груди и ещё более ужасные намеки на соски, и это презентация какой-то ночной майки а не вечернего платья ",это был сарказм,https://twitter.com/R225975350/status/1518117400889155585
"А-то, Рондон-то как заиграл!))) ",это была ирония,https://twitter.com/shhavinskijj/status/574304678873333760
"Да ты просто цитату привела, я как раз это запомнила Нет. Люди всегда ко всему прикопаются....всегда... Хочу персонажа чисто в нижнем белье, ну емае.... Давайте всех женщин оденем в штаны болахонистые и кофты, либо юбки до пола ",это была ирония,https://twitter.com/kawausoMiko/status/1391027220509044737
"да, блять. Бойся меня теперь нахуй!! ",это была ирония,https://twitter.com/Midnight_Rey/status/449536783081291776
А что случилось? Я такого не замечала... Вроде все нормально ,это был сарказм,https://twitter.com/shtionmn/status/1513545725463994372
Вы не понимаете. Единый народ. Душа и сердце болит за весь украинский народ. Он просто одурманен и под внешним управлением. ,это была ирония,https://twitter.com/AZurabAZ/status/634419275852328960
... или печень ,это была ирония,https://twitter.com/badtwittor/status/1005821609020620802
"Тссс...! Тише... Прислушаетесь... Слышите грохот и ощущаете вибрацию?... Это рухнул прогнивший западный мир!!! ""Россия в ответ на санкции, введенные США и Канадой, внесла в черный список 398 конгрессменов США и 87 сенаторов Канады!"" Шах и мат, пиндосы! Ха! Ха! Ха! ",это был сарказм,https://twitter.com/Nablyudatel11Tm/status/1514372526738219014
"В этот праздничный день я желаю вам всем много-много моры в геншине, потому что иной валюты в данной фентези-стране в приличном количестве вы уже не увидите))))))) ",это была ирония,-
"Толя негодует, что с первым шагом войск РФ на землю Украины нацисткий режим не самоликвидировался. А ведь должен был исчезнуть. Путин обещал. ",это была ирония,-
У тя ребенок нацпредатель ,это был сарказм,https://twitter.com/SeliusM/status/1506696134688837638
С детства за Лестер))) ,это была ирония,https://twitter.com/Blondin_85/status/680762463139278852
"Вот вы говорите медицина у нас плохая, херня! Вызвал врача, а она по телефону опросила и назначила лечение! Вот это уровень! ",это была ирония,https://twitter.com/mihey_vo/status/546919158500577280
"можно-можно) я уже все вердикты поняла- не развиваюсь, не из той семьи...вот так понедельник)) ",это была ирония,https://twitter.com/mashafe/status/384534978388062208
"Ну чо ты панику нагнетаешь, ну. ",это была ирония,https://twitter.com/mr_dilettante/status/1481250205873983495
"Ленинград все-таки не снесли с лица земли. Получается, Гитлер был человечнее. ",это был сарказм,https://twitter.com/natarozenblum/status/1511641804843720709
"тви предлагает мне работу в KFC. спасибо, дорогой тви, но я подожду пока в тебе не появится реклама рабочих мест в трамвайном депо Апаково. ",это была ирония,https://twitter.com/eatsyntheticplz/status/758201024070946816
Свинья везде грязь найдёт ,это был сарказм,https://twitter.com/akirasthrone/status/1509483324326256642
треш викусь давай в статусе поставим что рады видеть в своей неагрессивной компании любого даже самого безмозглого ,это была ирония,https://twitter.com/livekavinsky/status/1521615256673529857
не остри тут мне!!! а то отпишусь!!!!!! ,это была ирония,https://twitter.com/_kleyni_/status/1015172445421129728
"ВСУ атаковали телецентр в Херсоне. Было выпущено минимум 3 ракеты ""Точка-У"". 5 из них удалось героически сбить. Но, не смотря на все усилия, всё телевизионное вещание российского ТВ в городе, вроде как, отключилось. ",это была ирония,-
ой ну это что то фантастическое ,это была ирония,https://twitter.com/dom_slona/status/1482102351498563590
"но уже норм, оно только посинело, и не сильно красиво ",это была ирония,https://twitter.com/Iarry_fuck/status/455428869840175106
"Кремль анонсировал статью Путина о Великой Отечественной войне. Ну да, кто, как не он, объявивший войну всему цивилизованному миру, а попутно своему народу, знает в этом толк. Товарищ Путин, вы большой историк. ",это была ирония,https://twitter.com/poteryashka2007/status/1407187841625559041
"Вы все такие умные. Шарите в вирусологии, геополитике, военном деле и прочих высоких материях. Восхищаюсь всеми вами. ",это был сарказм,https://twitter.com/MaxiVint/status/1508034070244122629
О Боже кто дал рецепт ребёнку? Это ж секрет ,это была ирония,https://twitter.com/hassimba/status/1175443368991703040
"звонила Валентина Петровна и сказала,что мол тебя искал парень,который приходил к тебе в гости.тэак,их было шесть.может Радич приехал?:D ",это была ирония,https://twitter.com/bugagulya/status/342883723253006337
Ахахвхахвххвхаха какая смешная шутка ,это была ирония,https://twitter.com/gryadki_kris/status/1344267521080352769
Экий Вы однако А вот Путин её каждый день видит Вот кого жалеть надо )) ,это была ирония,-
"Чувствует мое сердце, в этом году на Евровидении - не слабо соснем на распределении баллов ",это был сарказм,https://twitter.com/Ketchap_/status/1507447981448040451
Да мне тоже очень нравятся капеллан и леди Линдон ,это была ирония,https://twitter.com/valkraud/status/1425570893812715525
"Хочется мужика хотя бы ради того, чтобы пилить с ним фотки, а в комментариях все писали «Вы такие котики», «Такие милахи», «мимими». ",это была ирония,https://twitter.com/nikakeda/status/772071287246229504
"Оказывается люди могут иметь другое мнение. Ебать , вот это блять открытие нахуй. ",это был сарказм,https://twitter.com/GodsavEVE/status/1503272801507151872
Лучше постою в пробке на 4х литровом внедорожнике сжигая бензин на хорошем асфальте. ,это была ирония,https://twitter.com/the_power_sila/status/1175633780436086787
И потому-что ничего не сделал чтоб свергнуть деда. ,это был сарказм,https://twitter.com/Mr_Mrzik/status/1512015778190708739
На самом деле все не так =) Люшер впервые не прав. Пойду вскроюсь ,это была ирония,https://twitter.com/KadnikovAl/status/444198641671360513
Ага блять кто мне интересно ,это был сарказм,https://twitter.com/Sexkage_/status/1496268003440308230
Рафик не виноват))) ,это была ирония,https://twitter.com/Vlad1mir84/status/1090986274645786625
"а чтобы перерасти правые идеи, можно почитать Жака Фреско (я посмотрел - он в 101 год умер). ",это была ирония,https://twitter.com/chugunoz/status/1203769236398759937
глупый ХзХ ,это была ирония,https://twitter.com/6th_ED/status/330003254949855232
"Спасибо @VSharypov . Реально высветили тех, кому руки больше подать не хочу. И здоровья! ",это была ирония,https://twitter.com/andreiavtoneev/status/1096851599656452097
Вы просто смельчак в тёмных очках)) ,это была ирония,https://twitter.com/tamriko_glad/status/1086110094503432192
ну сори((( ,это была ирония,https://twitter.com/DRKLKV/status/677939733364940800
"Происки Курченко! Вот бы его победить. Это последний, из УКРО олигархов, мешающий становлению народности. Подлинной ",это была ирония,https://twitter.com/AZurabAZ/status/655745018196570112
10-ти часовой рабочий день с глажкой всего 1500 рублей???Пусть приезжает-готов платить 3 тыс ,это была ирония,https://twitter.com/lebiaga/status/1457408854791233543
"Разумеется, нигде. Ведь для тех, кто её не обсуждает, бумага по прежнему стоит 250р пачка, не так ли? А принтерные картриджи для тех, кто вне политики, наверное, даже подешевели ",это был сарказм,https://twitter.com/toshische/status/1506989423082315784
"Оу,а куда делась половина банков с обмена валют на сах коме? ",это была ирония,https://twitter.com/absque_dubio/status/546300461578727424
А ещё Apple Pay не работает и карты Мастера с Визой заблокировали ,это была ирония,-
"Я считаю, что нам всем нужно отказаться от оплаты по кредитке тинькофф банка. Всех не пересажаете! ",это был сарказм,https://twitter.com/v_malykh/status/1519424216692629506
Двумя- кушать подано ,это была ирония,https://twitter.com/Barkova_AG/status/384768928745918464
"Теперь, перед тем как завести любовника, нужно взвесить все за и против. Ни чуть не аморально и не неприемлемо. ",это была ирония,https://twitter.com/DrozdAnastasia/status/334680079269498881
"Достал ты меня. Сейчас дам команду Володимиру Олександровичу, нехай трошки вентиль закрывает ) ",это был сарказм,https://twitter.com/limasierra15/status/1516341866635091971
Смотрите ка. Там не исчерпали лимит на революции. ,это была ирония,https://twitter.com/za_deleted/status/1313474381671272449
"Мне пару дней назад тип с ФСБ с Москвы звонил. По голосу урка голимый, так ещё и по фене излогал свои мысли. Вот куда руководство смотрит? Как таких на работу берут в ФСБ ? ",это была ирония,https://twitter.com/1gM28BEMAYYiWS1/status/1395028731543044097
Так Путин говорит что против нато воюет а не против Украины. Украина просто поддалась кукловодам. Так же президент говорит ,это был сарказм,https://twitter.com/farmakokineka/status/1513961686612463617
Роскошная яхта #Смоленск ого олигарха причалила к берегу Днепра))) ,это была ирония,https://twitter.com/SmolDobr/status/470530729550811136
